label,prompt,text,text_length,clean_text,young_prob,old_prob,perplexity,dist_1,dist_2,dist_3
0,"Hello, tell me about yourself.", Where did you come from?,5,where did you come from,0.887321412563324,0.11267862468957901,39.246734619140625,1.0,0.8,0.6
0,"Hello, tell me about yourself.",I'm an 18,3,i m an,0.02379717119038105,0.9762029051780701,710.8609008789062,1.0,0.6666666666666666,0.3333333333333333
0,"Hello, tell me about yourself.",I am a student,4,i am a student,0.7674437761306763,0.23255620896816254,78.88905334472656,1.0,0.75,0.5
0,"Hello, tell me about yourself.",I'm a 25,3,i m a,0.007210030686110258,0.9927899837493896,451.376708984375,1.0,0.6666666666666666,0.3333333333333333
0,"Hello, tell me about yourself.", I know that you are a,6,i know that you are a,0.053191475570201874,0.9468085169792175,48.9936637878418,1.0,0.8333333333333334,0.6666666666666666
0,"Hello, tell me about yourself."," Where are you from, what",5,where are you from what,0.998977780342102,0.0010222349083051085,35.7915153503418,1.0,0.8,0.6
0,"Hello, how are you?", I'm back! So I,4,i m back so i,0.9824355840682983,0.01756443828344345,187.58175659179688,1.0,0.75,0.5
0,"Hello, how are you?",I'm doing fine,3,i m doing fine,0.9933744072914124,0.006625587586313486,155.49620056152344,1.0,0.6666666666666666,0.3333333333333333
0,"Hello, how are you?", Are you having a great time,6,are you having a great time,0.9989650249481201,0.0010350149823352695,44.850799560546875,1.0,0.8333333333333334,0.6666666666666666
0,"Hello, how are you?"," My name is Rolf,",4,my name is rolf,0.04596599563956261,0.9540339708328247,82.8461685180664,1.0,0.75,0.5
0,"Hello, how are you?", I'm glad you came to,5,i m glad you came to,0.4309788644313812,0.5690211057662964,65.62667846679688,1.0,0.8,0.6
0,"Hello, how are you?","Well, I'm",2,well i m,0.22670462727546692,0.7732954025268555,80.98243713378906,1.0,0.5,0.0
0,I had a splendid weekend., I did a lot of things,6,i did a lot of things,0.9691900014877319,0.030810007825493813,63.28756332397461,1.0,0.8333333333333334,0.6666666666666666
0,I had a splendid weekend., I got to go on an,6,i got to go on an,0.002158421091735363,0.9978415966033936,45.79669189453125,1.0,0.8333333333333334,0.6666666666666666
0,I had a splendid weekend., I've been a bit down,5,i ve been a bit down,0.99894779920578,0.001052263774909079,66.50607299804688,1.0,0.8,0.6
0,I had a splendid weekend., My wife and I had a,6,my wife and i had a,0.005034453235566616,0.9949654936790466,54.85647201538086,1.0,0.8333333333333334,0.6666666666666666
0,I had a splendid weekend., I went to see the opening,6,i went to see the opening,0.026562310755252838,0.9734376668930054,25.4354305267334,1.0,0.8333333333333334,0.6666666666666666
0,I had a splendid weekend.," It was a lovely weekend,",5,it was a lovely weekend,0.854210376739502,0.14578959345817566,63.56450653076172,1.0,0.8,0.6
0,Good afternoon., I'm going to give a,5,i m going to give a,0.08175454288721085,0.9182454347610474,58.516441345214844,1.0,0.8,0.6
0,Good afternoon.,As a longtime resident,4,as a longtime resident,0.01728724129498005,0.9827127456665039,27.704072952270508,1.0,0.75,0.5
0,Good afternoon., This is the last post of,6,this is the last post of,0.979399561882019,0.020600510761141777,29.187206268310547,1.0,0.8333333333333334,0.6666666666666666
