label,prompt,text,text_length,clean_text,young_prob,old_prob,perplexity,dist_1,dist_2,dist_3
0,"Hello, tell me about yourself.", Where did you come from?,5,where did you come from,0.887321412563324,0.11267862468957901,39.246734619140625,1.0,0.8,0.6
0,"Hello, tell me about yourself.",I'm an 18,3,i m an,0.02379717119038105,0.9762029051780701,710.8609008789062,1.0,0.6666666666666666,0.3333333333333333
0,"Hello, tell me about yourself.",I am a 23,4,i am a,0.02070215903222561,0.9792978763580322,1238.8463134765625,1.0,0.75,0.5
0,"Hello, tell me about yourself.",I'm a 25,3,i m a,0.007210030686110258,0.9927899837493896,451.376708984375,1.0,0.6666666666666666,0.3333333333333333
0,"Hello, tell me about yourself.", I know that you are a,6,i know that you are a,0.053191475570201874,0.9468085169792175,48.9936637878418,1.0,0.8333333333333334,0.6666666666666666
0,"Hello, tell me about yourself."," Where are you from, what",5,where are you from what,0.998977780342102,0.0010222349083051085,35.7915153503418,1.0,0.8,0.6
0,"Hello, how are you?", I'm back! So I,4,i m back so i,0.9841637015342712,0.01583624631166458,187.58175659179688,1.0,0.75,0.5
0,"Hello, how are you?",I'm doing fine,3,i m doing fine,0.9935367703437805,0.006463244557380676,155.49620056152344,1.0,0.6666666666666666,0.3333333333333333
0,"Hello, how are you?",You look like you,4,you look like you,0.7809358835220337,0.2190641313791275,40.747581481933594,1.0,0.75,0.5
0,"Hello, how are you?", My name is Alex. I,5,my name is alex i,0.8635895252227783,0.13641051948070526,72.25186157226562,1.0,0.8,0.6
0,"Hello, how are you?", I'm glad you came.,4,i m glad you came,0.2776486277580261,0.7223513722419739,90.69441986083984,1.0,0.75,0.5
0,"Hello, how are you?","Well, I'm",2,well i m,0.2279352992773056,0.7720646858215332,80.98243713378906,1.0,0.5,0.0
0,I had a splendid weekend., I did a lot of things,6,i did a lot of things,0.9691900014877319,0.030810007825493813,63.28756332397461,1.0,0.8333333333333334,0.6666666666666666
0,I had a splendid weekend., I got to spend two nights,6,i got to spend two nights,0.8686503767967224,0.131349578499794,36.906375885009766,1.0,0.8333333333333334,0.6666666666666666
0,I had a splendid weekend., I've been a bit lazy,5,i ve been a bit lazy,0.9702423810958862,0.029757602140307426,79.12149810791016,1.0,0.8,0.6
0,I had a splendid weekend., My wife and I had a,6,my wife and i had a,0.005034453235566616,0.9949654936790466,54.85647201538086,1.0,0.8333333333333334,0.6666666666666666
0,I had a splendid weekend., I went to see The Big,6,i went to see the big,0.060180969536304474,0.9398189783096313,38.25856399536133,1.0,0.8333333333333334,0.6666666666666666
0,I had a splendid weekend., It's not just a weekend,5,it s not just a weekend,0.9989253878593445,0.0010745861800387502,96.6568374633789,1.0,0.8,0.6
0,Good afternoon.," I'm your host, Chris",4,i m your host chris,0.030272481963038445,0.9697274565696716,82.14495086669922,1.0,0.75,0.5
0,Good afternoon.,As a longtime resident,4,as a longtime resident,0.01728724129498005,0.9827127456665039,27.704072952270508,1.0,0.75,0.5
0,Good afternoon., This is the last day to,6,this is the last day to,0.9969626069068909,0.003037428017705679,30.412704467773438,1.0,0.8333333333333334,0.6666666666666666
