label,prompt,text,text_length,clean_text,young_prob,old_prob,perplexity,dist_1,dist_2,dist_3
1,Awesome! I actually haven't been there. When did you go?, I haven´´IfThe,2,i haven ifthe,0.43555840849876404,0.5644416213035583,158.33763122558594,1.0,0.5,0.0
1,Awesome! I actually haven't been there. When did you go?,IfDexDexIf,1,ifdexdexif,0.9962261915206909,0.003773842705413699,164.98121643066406,1.0,0.0,0.0
1,Awesome! I actually haven't been there. When did you go?, I haven´The´The,2,i haven the the,0.0014121044659987092,0.9985879063606262,111.4638442993164,1.0,0.5,0.0
1,Awesome! I actually haven't been there. When did you go?," Where are in the t,",5,where are in the t,0.015245276503264904,0.9847546815872192,22.47517204284668,1.0,0.8,0.6
1,Can I add you on Facebook?, I will add my name to,6,i will add my name to,0.9832043647766113,0.016795635223388672,71.19219970703125,1.0,0.8333333333333334,0.6666666666666666
1,Can I add you on Facebook?,theIWI,1,theiwi,0.025823935866355896,0.9741761088371277,102.386474609375,1.0,0.0,0.0
1,Can I add you on Facebook?, ( rog barbar imm imm,5,rog barbar imm imm,0.9097203016281128,0.0902797058224678,53.360679626464844,0.8,0.8,0.6
1,Can I add you on Facebook?, ( ( imm imm rog,5,imm imm rog,0.7808066606521606,0.21919333934783936,100.55207824707031,0.6,0.8,0.6
1,Can I add you on Facebook?," Yes, but it's private",4,yes but it s private,0.008761399425566196,0.991238534450531,55.49559020996094,1.0,0.75,0.5
1,Can I add you on Facebook?," If so I, I,",4,if so i i,0.28326818346977234,0.71673184633255,236.2030029296875,0.75,0.75,0.5
1,Do you have any hobbies?," ( (,. to",3,to,0.722280740737915,0.27771925926208496,2185.66064453125,1.0,0.6666666666666666,0.3333333333333333
1,Do you have any hobbies?, ( ( ( ( you,5,you,0.7644551992416382,0.23554475605487823,877.5094604492188,0.4,0.4,0.4
1,Do you have any hobbies?, ( in the in/,4,in the in,0.008242694661021233,0.991757333278656,93.56083679199219,1.0,0.75,0.5
